Ticker,Open,High,Low,Close,Volume
MMM,125.13541723072883,127.0650175776404,124.1109411994466,124.56847381591795,4021400.0
AOS,81.33406032829063,82.09065839324477,79.91046503532725,82.03092956542969,1106000.0
ABT,109.66316802211726,111.51444374265874,107.89151886008666,110.7878646850586,9885700.0
ABBV,189.4670038286584,192.3737994982385,184.9828233128068,187.79039001464844,6303900.0
ACN,323.67250293831074,325.35565422486985,319.0513289872417,321.8399658203125,2682700.0
ADBE,535.780029296875,536.8400268554688,519.6799926757812,526.1699829101562,2729100.0
AMD,133.5,137.10000610351562,131.3300018310547,132.5,78562000.0
AES,17.118501529819056,17.474725302698605,16.673223701057882,16.950284957885742,10660600.0
AFL,99.36244301218544,100.81884854799736,96.637877095453,98.32215118408205,3471900.0
A,141.75432978483943,142.94244081174477,135.544214762765,138.81900024414062,2298400.0
APD,281.1187900478466,284.26995828584705,275.74097827193043,280.0650939941406,1832100.0
ABNB,129.30999755859375,129.60000610351562,126.5,128.22999572753906,7745500.0
AKAM,95.19000244140624,95.5999984741211,93.80999755859376,94.55999755859376,1220600.0
ALB,88.03715173973173,88.03715173973173,81.55260340048763,86.25241088867188,5807200.0
ARE,112.55777475930552,113.4382137811962,110.084629743334,112.1422882080078,1659500.0
ALGN,224.0200042724609,224.02999877929688,209.17999267578125,213.4900054931641,1381400.0
ALLE,129.6456578203883,130.1240508167891,127.4031706894707,129.10745239257812,1312900.0
LNT,57.99656002595563,58.21477607686373,55.65566872781962,56.6475715637207,2275200.0
ALL,174.88158400152577,178.28965708877584,172.27599025177673,175.17880249023438,1699600.0
GOOGL,166.0291532919356,168.09403568140388,164.26351818998194,166.2486114501953,29130100.0
GOOG,167.77854411648468,169.79360667087548,165.9829445740305,167.98802185058594,18907800.0
MO,49.41949924207825,50.41004896246965,48.919323374450656,50.086402893066406,12662500.0
AMZN,166.75,168.77000427246094,160.5500030517578,167.89999389648438,141448400.0
AMCR,10.234956487112653,10.303320382412906,10.059165875395424,10.274022102355955,13275600.0
AEE,81.41539397770507,82.55779336391542,79.53438414410684,81.27751922607422,2132400.0
AEP,101.66906763664112,102.41497661746948,97.8708360579912,99.90245056152344,4453700.0
AXP,243.87274301744435,244.0123775352202,229.45043775638015,231.67462158203125,6902600.0
AIG,73.19115210745987,73.76481429988323,70.90640369288019,71.18334197998047,7453100.0
AMT,228.3386759254689,234.29533703656807,227.1374092693586,232.94515991210935,4750500.0
AWK,146.29075551114272,147.36496194200672,143.25711908744006,146.55931091308594,1210500.0
AMP,406.7743268060773,408.8704214366823,397.8137193186024,399.95947265625,679600.0
AME,157.15926149163673,157.15926149163673,149.99165527849337,152.26455688476562,4082200.0
AMGN,332.4284455233603,333.3446805042598,320.9113772253554,329.0491638183594,2106200.0
APH,60.011044579357176,60.1503730987531,57.7220668265532,58.84665298461914,11962600.0
ADI,210.75521006433365,211.34043229936265,205.03205837430517,206.27191162109372,6796700.0
ANSS,307.9800109863281,308.8900146484375,294.25,302.2200012207031,705000.0
AON,328.3447864616012,330.8900826047582,325.3203624906393,329.6024475097656,1649700.0
APA,30.384445579020664,30.4339470150266,28.01823954843396,28.30535316467285,8733700.0
AAPL,218.65606496292435,225.09153987705304,217.2193232804361,219.36447143554688,105568600.0
AMAT,187.0707147257111,188.76349434394336,178.86578098141683,181.0364990234375,12991600.0
APTV,71.16000366210938,71.18000030517578,67.05000305175781,69.62999725341797,6391900.0
ACGL,92.18961051657485,94.50980527483586,91.7807238543367,93.82515716552734,3584700.0
ADM,59.19120875908708,59.49571185422764,57.60976735371981,57.86515426635742,4081500.0
ANET,80.0,81.25,77.8499984741211,79.83499908447266,10799600.0
AJG,287.8831117339734,289.148017554328,282.0366115601521,285.99072265625,917300.0
AIZ,172.65406232823122,174.95729990071692,170.2217587407525,171.9988250732422,387500.0
T,19.39102844294632,19.736591964485868,18.94673410082663,19.124452590942383,45240100.0
ATO,130.49174513745032,130.65971179532585,126.43085229281569,128.4365997314453,678800.0
ADSK,236.6699981689453,238.0,230.6499938964844,231.3699951171875,2812400.0
ADP,259.3387121261866,261.2689169139798,256.834412030371,260.84326171875,2310600.0
AZO,3145.989990234375,3178.800048828125,3119.27001953125,3177.669921875,140200.0
AVB,212.64278650558933,217.13859341305132,206.6781546957248,208.43479919433597,1051300.0
AVY,210.76177525171087,210.76177525171087,205.85273081670064,208.6394805908203,530300.0
AXON,294.1000061035156,295.3599853515625,287.1400146484375,292.3599853515625,929200.0
BKR,37.0946616618634,37.23303709913469,34.9597171871615,35.3254280090332,8698300.0
BALL,63.68355502468895,64.38905906922153,62.39180381947051,64.34931182861328,2380900.0
BAC,37.54500855312336,38.06866141369826,36.73482709113036,37.13003921508789,76728000.0
BAX,35.504586300294406,35.60332211742382,34.46788470194657,34.823326110839844,6025400.0
BDX,234.91663510226863,240.41785046820223,234.13358630677624,239.7438201904297,1802900.0
BBY,82.31985059874442,82.47665390303128,80.25205375341824,80.71265411376953,2875200.0
TECH,81.12770932016066,81.12770932016066,77.76484839801782,80.0000991821289,857900.0
BIIB,212.4499969482422,213.5,203.0200042724609,205.66000366210935,1768700.0
BLK,845.7819064190151,848.9474180272338,830.2412604144328,836.8987426757812,479800.0
BX,133.6303659937283,134.50583747315645,130.40699571183032,132.36688232421875,4695700.0
BK,63.45858726665725,64.26362698688892,62.25600567966309,62.73306274414063,6162200.0
BA,175.22000122070312,175.4600067138672,167.25,169.9499969482422,11742800.0
BKNG,3298.461080868918,3451.820627946883,3278.0024740821286,3314.935302734375,801500.0
